"Categoría","Subcategoría","Nombre","Presentaciónes","Iconos de uso","¿Qué es?","¿Para qué tipo de vehículo se recomienda?","Beneficios","Recomendaciones de Uso","Nombre de img de producto","Hoja de Seguridad","Ficha Técnica","","","","","","",""
"Aceites Lubricantes","Para motor a Gasolina","Bardahl Formula 1 Sintético Autos Nuevos 5W30 SN  ","950 ml","Auto y Camioneta","Bardahl® 5W-30 API SN Es un aceite de motor sintético de calidad Premium formulado especialmente para cubrir los requerimientos de autos nuevos.","Para autos con motores a gasolina o diesel, de lujo, deportivos y/o con motores turbocargados de último modelo y anteriores. ","Garantiza una máxima protección contra el desgaste de los componentes del motor extendiedo su vida útil. Provee un elevado ahorro de combustible gracias a su fórmula sintética de baja viscosidad*. Alarga el periodo de cambio de aceite hasta por el doble de tiempo en comparación con aceites multigrado convencionales. Cumple y excede las siguientes especificaciones: API SN, ILSAC GF-5, ACEA A3/B4, ACEA A55/B5, MB 229.3 (v 2012.2), VW 502.00/505.00, Renault RN 0710/0700. Recomendado para motores a gasolina de autos y camionetas último modelo y anteriores donde el manual del fabricante recomiende un aceite con calidad de servicio API SN y/o Ilsac GF-5 ó anteriores. *el ahorro de combustible está en función de las condiciones de operación y el estilo de manejo del conductor.","Se aplica directamente en el depósito de aceite para motor. Para autos de 4 cilindros: 3-5 Litros. Autos de 6 cilindros o más: 5-6 Litros.","bardahl-formula-1-sintetico-autos-nuevos-5w30-sn.jpg  ","bardahl-formula-1-sintetico-autos-nuevos-5w30-sn-hs.pdf","bardahl-formula-1-sintetico-autos-nuevos-5w30-sn-ft.pdf","","","","","","",""
"Aceites Lubricantes","Para motor a Gasolina","Bardahl Formula 1 100% Synthetic SAE 5W40 API SN  ","950 ml","Auto y Camioneta","Es un aceite de motor sintético de calidad Premium formulado especialmente para cubrir los requerimientos de autos nuevos.","Recomendado para autos con motores a gasolina o diesel, de lujo, deportivos y/o con motores turbocargados de último modelo y anteriores. ","Garantiza una máxima protección contra el desgaste de los componentes del motor extendiedo su vida útil. Protección insuperable en amplios rangos de temperatura de operación, incluyendo el arranque en frío. Alarga el periodo de cambio de aceite hasta por el doble de tiempo en comparación con aceites multigrado convencionales. Cumple y excede las siguientes especificaciones: API SN/CF, ACEA A3/B4, MB 229.3 (v 2012.2), VW 502.00/505.00, Renault RN 0710/0700, Porsche A40, Opel GM-LL-A/B-025, JASO MA2 (T903-2011). Recomendado para motores a gasolina de autos y camionetas último modelo y anteriores donde el manual del fabricante recomiende un aceite con calidad de servicio API SN o anteriores.","Se aplica directamente en el depósito de aceite para motor. Para autos de 4 cilindros: 3-5 Litros. Autos de 6 cilindros o más: 5-6 Litros.","bardahl-formula-1-100-synthetic-sae-5w40-api-sn.jpg ","bardahl-formula-1-100-synthetic-sae-5w40-api-sn-hs.pdf","bardahl-formula-1-100-synthetic-sae-5w40-api-sn-ft.pdf","","","","","","",""
"Aceites Lubricantes","Para motor a Gasolina","Bardahl Fusión 20W50 SN ","950 ml, 5 l","Auto y Camioneta","Es un lubricante que combina lo mejor de dos tecnologías: Aceite Bardahl API SN + Adtitvo Bardahl 1  para ofrecer un desempeño superior a cualquier aceite de su categoría.","Recomendado para motores a gasolina de autos y camionetas último modelo y anteriores donde el manual del fabricante recomiende un aceite con calidad de servicio API SN o anteriores.","Por su contenido de Aditivo Bardahl 1, el aceite Bardahl Fusión ofrece: Máxima protección contra la fricción desde el arranque hasta la mayor temperatura del motor, mayor eficiencia del motor contribuyendo al ahorro de combustible en comparación con aceites multigrado convencionales, reducción del desgaste duplicando la vida del motor aun en condiciones severas de operación. Demostrado bajo rigurosas pruebas de motor y de banco en Laboratorios certificados en los Estados Unidos. Cumple y excede con la especificación API SN","Se aplica directamente en el depósito de aceite para motor. Para autos de 4 cilindros: 3-5 Litros. Autos de 6 cilindros o más: 5-6 Litros.","bardahl-fusion-20w50-sn.jpg ","bardahl-fusion-20w50-sn-hs.pdf","bardahl-fusion-20w50-sn-ft.pdf","","","","","","",""
"Aceites Lubricantes","Para motor a Gasolina","Bardahl F-1 Racing Oil SAE 40 API SL ","950 ml, 19 l, 208 l","Auto y Camioneta","Es un aceite monogrado para autos con motor a gasolina que son sometidos a severas condiciones de trabajo y temperatura.","Recomendado para la lubricación de automóviles, camiones y camionetas, donde el fabricante recomienda el uso de aceites con la clasificación de servicio API SL.","Ideal para climas cálidos y muy calurosos. Previene el pegado de anillos causado por severas condiciones de operación o largos periodos de uso, máxima protección que alarga la vida del motor, elimina los depositos acumulados.","Se aplica directamente en el depósito de aceite para motor. Autos de 4 cilindros: 3-5 Litros. Autos de 6 cilindros o más: 5-6 Litros.","bardahl-f-1-racing-oil-sae-40-api-sl.jpg ","bardahl-f-1-racing-oil-sae-40-api-sl-hs.pdf","bardahl-f-1-racing-oil-sae-40-api-sl-ft.pdf","","","","","","",""
"Aceites Lubricantes","Para motor a Gasolina","Bardahl F-1 Super Racing Oil SAE 15W40 API SL ","951 ml, 19 l, 208 l","Auto y Camioneta","Es un lubricante elaborado a base de aceites básicos vírgenes , un paquete de aditivos de alta tecnología y un mejorador de índice de viscosidad, para tener un aceite que satisface los requerimientos de los motores, protegiendolos contra el desgaste en el arranque en frio. ","Recomendado para la lubricación de automóvimes y camionetas.","Excelente resistencia a la degradación térmica, excelente protección contra la corrosión y la herrumbre, excelente detergencia y dispersancia.","Se aplica directamente en el depósito de aceite para motor. Para autos de 4 cilindros: 3-5 Litros. Autos de 6 cilindros o más: 5-6 Litros.","bardahl-f-1-super-racing-oil-sae-15w40-api-sl.jpg ","bardahl-f-1-super-racing-oil-sae-15w40-api-sl-hs.pdf","bardahl-f-1-super-racing-oil-sae-15w40-api-sl-ft.pdf","","","","","","",""
"Aceites Lubricantes","Para motor a Gasolina","Bardahl F-1 Super Racing Oil SAE 20W50 API SL ","952 ml, 5 l, 19 l, 208 l","Auto y Camioneta","Es un lubricante elaborado a base de aceites básicos vírgenes , un paquete de aditivos de alta tecnología y un mejorador de índice de viscosidad, para tener un aceite que satisface los requerimientos de los motores, protegiendolos contra el desgaste en el arranque en frio","Recomendado para la lubricación de automóvimes y camionetas.","Excelente resistencia a la degradación térmica, excelente protección contra la corrosión y la herrumbre, excelente detergencia y dispersancia.","Se aplica directamente en el depósito de aceite para motor. Para autos de 4 cilindros: 3-5 Litros. Autos de 6 cilindros o más: 5-6 Litros.","bardahl-f-1-super-racing-oil-sae-20w50-api-sl.jpg ","bardahl-f-1-super-racing-oil-sae-20w50-api-sl-hs.pdf","bardahl-f-1-super-racing-oil-sae-20w50-api-sl-ft.pdf","","","","","","",""
"Aceites Lubricantes","Para motor a Gasolina","Bardahl BIOS MR SL 40  Brick Pouch ","950 ml","Auto y Camioneta","Aceite Multigrado Especialmente diseñado para todo tipo de motores a gasolina con más de 100 000 kilómetros.","Recomendado para motores a gasolina de autos y camionetas con mas de 100 000 kilómetros, modelo 2004 y anteriores donde el manual del fabricante recomiende un aceite con calidad de servicio API SL o anteriores.","Devuelve la potencia perdida del motor, repara fugas y acondiciona las juntas y sellos resecos del motor, remueve los depósitos acumulados que obstruyen el paso de aceite dentro del motor, excelente protección contra el desgaste.","Se aplica directamente en el depósito de aceite para motor. Autos de 4 cilindros: 3-5 Litros. Autos de 6 cilindros o más: 5-6 Litros.","bardahl-bios-mr-sl-40-brick-pouch.jpg ","bardahl-bios-mr-sl-40-brick-pouch-hs.pdf","bardahl-bios-mr-sl-40-brick-pouch-ft.pdf","","","","","","",""
"Aceites Lubricantes","Para motor a Gasolina","Bardahl F-1 Super Racing Oil para más de 100,000 km SAE 25W50 API SL ","950 ml, 5 l, 19 l, 208 l","Auto y Camioneta","Aceite Multigrado Especialmente diseñado para todo tipo de motores a gasolina con más de 100 000 kilómetros.","Recomendado para motores a gasolina de autos y camionetas con mas de 100 000 kilómetros, modelo 2004 y anteriores donde el manual del fabricante recomiende un aceite con calidad de servicio API SL o anteriores.","Devuelve la potencia perdida del motor, repara fugas y acondiciona las juntas y sellos resecos del motor, remueve los depósitos acumulados que obstruyen el paso de aceite dentro del motor, excelente protección contra el desgaste.","Se aplica directamente en el depósito de aceite para motor. Autos de 4 cilindros: 3-5 Litros. Autos de 6 cilindros o más: 5-6 Litros.","bardahl-f-1-super-racing-oil-100000-sae-25w50-api-sl.jpg ","bardahl-f-1-super-racing-oil-100000-sae-25w50-api-sl-hs.pdf","bardahl-f-1-super-racing-oil-100000-sae-25w50-api-sl-ft.pdf","","","","","","",""
"Aditivos","Para Aceite","Bardahl 1","450 ml","Auto y Camioneta","Aditivo Antifriccionante que Evita el desgaste del motor provocado por la fricción, formando una película protectora en el metal","Este producto se recomienda para Automóviles y Camionetas.","Para motores nuevos o recién ajustados, alarga la vida del motor, aumenta la potencia y  es compatible con todos los tipos de aceite.","Se coloca en el depósito del aceite para motor, para autos medianos: 1 lata de 450 ml, para autos grandes y camionetas: 1 lata de 950 ml ó 2 latas de 450 ml. En cada cambio de aceite o como relleno para mantener el nivel correcto de aceite antes de su próximo cambio. Si su motor consume aceite use Bardahl 2®.","bardahl-1.jpg","bardahl-1-hs.pdf","bardahl-1-ft.jpg","","","","","","",""
"Aditivos","Para Aceite","Bardahl 2","450 ml, 950 ml","Auto y Camioneta","Aditivo Estabilizador que evita que el aceite se adelgace previniendo el desgaste provocado por la fricción, prolongado la vida al motor.","Este producto se recomienda para Automóviles y Camionetas.","Para motores que consumen aceite, evita el relleno constante de aceite, alarga la vida del motor y reestablece la potencia al motor.","Autos medianos: 1 lata de 450 ml, Autos grandes y camionetas: 1 lata de 950 ml ó 2 latas de 450 ml. Se coloca en el depósito del aceite para motor. En cada cambio de aceite o como relleno para mantener el nivel correcto de aceite antes de su próximo cambio. Se debe aplicar con el motor encendido.","bardahl-2.jpg","bardahl-2-hs.pdf","bardahl-2-ft.pdf","","","","","","",""
